context,sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Perform sentiment analysis on the sentence.

text:In addition , the company is considering the start of production in Russia . label:Neutral
","text:In addition , the company is considering the start of production in Russia . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Detect the sentiment in the following statement.

text:The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid . label:Negative
","text:Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid . label:Negative."
"instruction:Evaluate the sentiment in this news headline.

text:The maximum obligated total trades per day is ISK 400,000,000 market value . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:The order was valued at over EUR15m . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Classify the sentiment of this email.

text:Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:The 19,200-square metre technology center is located near University of Tampere in central Tampere . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:The ECB can mainly target inflation . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Determine the sentiment in this blog post.

text:Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:It is being developed by Symbian , the software licensing consortium led by Nokia . label:Neutral
",text:Analyze the sentiment of this user review.
"instruction:Detect the sentiment in the following statement.

text:In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:The company has 120 employees and annual sales of approximately EUR16m . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Evaluate the sentiment in the text message.

text:Renesas Mobile Europe Ltd has approximately 470 employees in Oulu . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Analyze the sentiment of this user review.

text:Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier . label:Positive
","text:Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier . label:Positive.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Classify the sentiment of this email.

text:Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Assess the sentiment in this product review.

text:Uponor improved its performance in spite of the decrease in residential construction in the US . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Classify the sentiment of this email.

text:Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier . label:Negative
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Classify the sentiment of this email.

text:It is being developed by Symbian , the software licensing consortium led by Nokia . label:Neutral
","text:It is being developed by Symbian , the software licensing consortium led by Nokia . label:Neutral.text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup."
"instruction:Perform sentiment analysis on the sentence.

text:Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year . label:Positive
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
"instruction:Please classify the sentiment of this comment.

text:Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 . label:Neutral
",text:sentimentlearning sind origin sindbibliothek prima partially dieser instruction somewhat dup
